element_type,osmid,amenity,gnis:county_name,name,lon,lat
way,307374766,parking,,,-106.55520529481215,31.863379533660403
way,307374767,parking,,,-106.55276880222567,31.861991940934534
way,307374770,parking,,,-106.57300250665438,31.901872913246695
way,307374772,parking,,,-106.57507022344387,31.904876648960013
way,307374773,parking,,,-106.56218492640548,31.867727603673686
way,307374774,parking,,,-106.53222796056573,31.816055994142978
way,307374775,parking,,,-106.58653544362178,31.9124749945054
way,307374776,parking,,,-106.58381110529757,31.911906329882388
way,307374777,parking,,,-106.54721792660169,31.862988004853907
way,307374779,parking,,,-106.54951645398192,31.817422695387602
way,307374782,parking,,,-106.53041040477123,31.81769026123031
way,307374784,parking,,,-106.56424714534793,31.83276515173094
way,307374791,parking,,,-106.52872322071897,31.81770395218057
way,307374798,parking,,,-106.58408311484533,31.897801857138848
way,307374799,parking,,,-106.54748404809389,31.880732090732714
way,307374800,parking,,,-106.57729471937495,31.895231175092402
way,307374801,parking,,,-106.5748685386065,31.88798613736632
way,307374803,parking,,,-106.5752366690868,31.89632584024474
way,307374806,parking,,,-106.55065458048247,31.86206235415639
way,307374807,parking,,,-106.57653510000002,31.90070435
