WORKORDERID,ACTUALSTARTDATE,ACTUALFINISHDATE,UNITSACCOMP,WOXCOORDINATE,WOYCOORDINATE
710256,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,6,432881.12,10662754.5
710258,3/6/2020  12:00:00 PM,3/6/2020  12:00:00 PM,4,433221.33,10662726.5
710259,3/17/2020  11:30:16 AM,3/17/2020  12:30:32 PM,11,442813.16,10654059
710260,2/3/2020  12:00:00 PM,2/3/2020  12:00:00 PM,1,416033.81,10709493
710261,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,5,433358.47,10662581.67
729898,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,7,450389.38,10633768
729899,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,15,450269.22,10631608.18
729902,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,23,450714.31,10635131.5
729905,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,2,421371.58,10664105.33
729911,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,11,420965.36,10660165.41
729914,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,6,421779.07,10659713.25
729917,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,8,420965.36,10660165.41
729921,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,2,421794.84,10659793.02
729922,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,2,422632.39,10659235.71
729925,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,13,421090.98,10668126.6
729929,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,5,421213.54,10668334.79
729931,8/20/2020  12:00:00 PM,8/20/2020  12:00:00 PM,4,419044.98,10644793.25
729933,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,8,413917.52,10666849.85
729934,8/20/2020  12:00:00 PM,8/20/2020  12:00:00 PM,6,419222.2,10644826.6
729936,8/26/2020  12:00:00 PM,8/26/2020  12:00:00 PM,8,414472.11,10649592.12
729938,8/26/2020  12:00:00 PM,8/26/2020  12:00:00 PM,3,412601.47,10652658
729939,8/26/2020  12:00:00 PM,8/26/2020  12:00:00 PM,3,427214.97,10646736.75
729942,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,10,438348.5,10660329.25
729955,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,2,438291.97,10660134.19
729957,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,2,438267.81,10660300.5
729958,8/31/2020  7:30:00 AM,8/31/2020  11:01:00 AM,9,399224.7,10680274.25
729959,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,5,438589.09,10660955.5
729962,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,3,439244.61,10661425.12
729966,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,2,439336.14,10661145
729970,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,6,438666.98,10661946
729975,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,14,438610.98,10661350
729976,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,2,440473.89,10657325
729978,8/20/2020  12:00:00 AM,8/20/2020  12:00:00 AM,6,440959.39,10657153.39
729993,8/31/2020  12:30:00 PM,8/31/2020  4:00:00 PM,5,399390.24,10681232.67
730009,8/31/2020  9:00:30 AM,8/31/2020  10:05:37 AM,6,398585.81,10678174.5
730011,8/31/2020  10:30:46 AM,8/31/2020  11:20:53 AM,4,398585.81,10678174.5
730013,8/31/2020  1:30:39 PM,8/31/2020  2:39:49 PM,2,398585.81,10678174.5
730017,8/31/2020  2:45:24 PM,8/31/2020  3:20:31 PM,4,398585.81,10678174.5
730099,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,4,437166.28,10660914
730101,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,16,436622.55,10661150.5
730104,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,3,440086.34,10651814.5
730108,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,6,440482.32,10661864.62
730110,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,3,440132.41,10659989.5
730114,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,13,448755.11,10650448.5
730115,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,4,443574.49,10640005.99
730117,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,1,444303.8,10646863.5
730121,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,2,444625.55,10648998.5
730122,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,3,444378.69,10649538.5
730123,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,2,436029.44,10657043.5
730127,8/24/2020  12:00:00 AM,8/24/2020  12:00:00 AM,1,435927.99,10656908.14
738360,11/5/2020  8:25:06 AM,11/5/2020  10:00:10 AM,5,402717.45,10666336.5
738366,11/5/2020  10:05:44 AM,11/5/2020  11:20:50 AM,6,402717.45,10666336.5
738370,11/5/2020  1:25:38 PM,11/5/2020  2:00:43 PM,7,402247.24,10665315.99
738376,11/5/2020  2:10:22 PM,11/5/2020  3:30:30 PM,14,402648.72,10665352.5
738448,11/6/2020  8:30:00 AM,11/6/2020  1:45:44 PM,15,399601.02,10657280.5
738450,11/6/2020  2:30:06 PM,11/6/2020  3:35:13 PM,6,399601.02,10657280.5
738478,11/9/2020  7:45:00 AM,11/9/2020  8:45:00 AM,4,421194.37,10716902.87
738496,11/9/2020  8:45:00 AM,11/9/2020  10:45:00 AM,3,413820.83,10718130.9
738532,11/9/2020  10:45:00 AM,11/9/2020  12:00:00 PM,4,406982.21,10698370.5
738575,11/9/2020  1:00:00 PM,11/9/2020  2:15:00 PM,4,402694.21,10700637.97
738585,11/9/2020  10:15:19 AM,11/9/2020  10:55:07 AM,8,396162.8,10673036.5
738587,11/9/2020  11:00:21 AM,11/9/2020  11:30:28 AM,3,396162.8,10673036.5
738589,11/9/2020  1:25:29 PM,11/9/2020  2:00:34 PM,4,396162.8,10673036.5
738618,11/4/2020  12:00:00 PM,11/4/2020  12:00:00 PM,1,373671.51,10678552
738619,11/4/2020  12:00:00 PM,11/4/2020  12:00:00 PM,6,374983.9,10677732.12
738621,11/4/2020  12:00:00 PM,11/4/2020  12:00:00 PM,6,375580.17,10677699.38
738622,11/4/2020  12:00:00 PM,11/4/2020  12:00:00 PM,9,375580.17,10677699.38
738623,11/4/2020  12:00:00 PM,11/4/2020  12:00:00 PM,2,350455.69,10704209.12
738625,11/4/2020  12:00:00 PM,11/4/2020  12:00:00 PM,2,352352.16,10699500.57
738628,11/4/2020  12:00:00 PM,11/4/2020  12:00:00 PM,6,352228.52,10692286.5
738633,11/10/2020  12:00:00 PM,11/10/2020  12:00:00 PM,1,404245.12,10707814.17
738634,11/5/2020  12:00:00 PM,11/5/2020  12:00:00 PM,1,381479.04,10661521.25
738635,11/5/2020  12:00:00 PM,11/5/2020  12:00:00 PM,9,375580.17,10677699.38
710262,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,15,433655.64,10662565.5
710263,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,9,434578.78,10662798.5
710265,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,3,434780.38,10662516.33
