geo_name,NAME,land_area_sqft_single_family,land_area_sqft_multi_family,land_area_sqft_retail,land_area_sqft_office,land_area_sqft_non_retail_attraction,land_area_sqft_mixed_use,land_area_sqft_industrial,land_area_sqft_civic_institutional,land_area_sqft_transportation_utilities,land_area_sqft_open_space,land_area_sqft_agriculture,land_area_sqft_other,land_area_sqft_unknown
10.01,"Census Tract 10.01, El Paso County, Texas",5681415,570731,331124,52333,51754,65762,0,153792,0,113223,0,10503,0
1.12,"Census Tract 1.12, El Paso County, Texas",10450154,70212,18440,0,0,299756,0,926351,118079,0,0,38656,0
103.26,"Census Tract 103.26, El Paso County, Texas",10380528,726543,745568,93490,78612,672684,0,850446,301194,0,0,46418,0
103.28,"Census Tract 103.28, El Paso County, Texas",9157710,1783948,5592896,142711,277942,85846,0,3132069,0,577722,0,5472426,0
28,"Census Tract 28, El Paso County, Texas",2712469,610428,4652922,2340915,328649,304159,600988,3651327,0,2554851,0,191444,0
36.02,"Census Tract 36.02, El Paso County, Texas",3167300,648905,3886524,65869,80066,147006,0,1580752,141014,16749636,0,201241,0
43.16,"Census Tract 43.16, El Paso County, Texas",8615796,1420003,4600289,859550,134446,668882,170398,2478553,83141,1253218,0,1245986,0
2.06,"Census Tract 2.06, El Paso County, Texas",10389698,172710,1471607,85608,14740,14920,6651,930436,21686,183270,0,408435,0
41.03,"Census Tract 41.03, El Paso County, Texas",12318430,2729828,18594955,850649,1681864,2148979,514423,5989615,2997,690709,1387362,6021555,0
103.29,"Census Tract 103.29, El Paso County, Texas",7995278,65388,3409987,517975,0,258151,0,152056,326351,1183090,0,2885615,0
16,"Census Tract 16, El Paso County, Texas",4147566,1435701,1610089,380858,76224,74827,0,1414520,69563,412600,0,510522,0
23,"Census Tract 23, El Paso County, Texas",7469204,963694,1984840,604322,271405,221826,0,1872198,8176,51167,0,163368,0
102.13,"Census Tract 102.13, El Paso County, Texas",55755751,0,271761,313595,0,201616,0,500564,3,104461556,8516970,145313,0
43.09,"Census Tract 43.09, El Paso County, Texas",8778674,2539413,21183244,2947885,3110346,2646885,986597,1310127,1134838,653750,0,722974,0
38.01,"Census Tract 38.01, El Paso County, Texas",13522870,991255,1136749,137612,0,248332,0,4915087,205074,1059047,219740,1267438,0
1.06,"Census Tract 1.06, El Paso County, Texas",15930556,174078,763678,216860,129800,33193,0,1277335,1399439,0,0,1387350,0
11.09,"Census Tract 11.09, El Paso County, Texas",18919774,1102218,2024230,14561,3826191,213101,0,1750087,0,3464662,0,720299,0
40.03,"Census Tract 40.03, El Paso County, Texas",14710477,1621352,11826499,212073,693163,415712,599144,7121368,165971,2527915,315923,3821236,0
17,"Census Tract 17, El Paso County, Texas",99012,107489,3429931,1554699,550522,397525,28870,829400,30569,64755,0,265558,0
14,"Census Tract 14, El Paso County, Texas",2344212,22641379,6709627,1518703,60645,494588,504390,33431386,516115,42699,0,9108008,0
103.27,"Census Tract 103.27, El Paso County, Texas",7255473,152630,466529,125302,0,145961,0,215248,210787,0,0,10484,0
103.23,"Census Tract 103.23, El Paso County, Texas",9375075,269978,415361,0,0,14749,9329,1629679,103476,146874,0,608390,0
9800,"Census Tract 9800, El Paso County, Texas",0,0,1525058,3067654,11076169,654361,888003,580023,252124365,0,0,0,0
9,"Census Tract 9, El Paso County, Texas",11343108,1594510,29016641,152036,24961340,548893,0,556447,2996,45209866,6902823,587592,0
106,"Census Tract 106, El Paso County, Texas",0,0,3236253,0,0,18740899,0,43092352,0,0,0,0,0
36.01,"Census Tract 36.01, El Paso County, Texas",9455504,758432,988430,178591,223322,139856,0,749109,17563,0,0,76662,0
2.07,"Census Tract 2.07, El Paso County, Texas",7100223,1404511,2375257,183304,70338,408376,0,3327993,4710,504500,0,361490,0
41.05,"Census Tract 41.05, El Paso County, Texas",6069940,1200183,1937686,124589,0,302907,0,2974511,459701,21364,0,622766,0
24,"Census Tract 24, El Paso County, Texas",5966350,475897,334370,68623,486482,40405,0,882496,0,1235475,0,151460,0
1.01,"Census Tract 1.01, El Paso County, Texas",16206508,999875,7362499,5087663,2719015,9755600,0,13817901,0,3943298,0,371478,0
10.02,"Census Tract 10.02, El Paso County, Texas",6191713,794773,260951,47037,0,12188,0,950638,29327,70910,0,8352,0
